,tweets
24,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
25,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
26,@RobMoore_CPC @denisebatters But hard on law abiding citizens concerning gun ownership?! Do they have a take on criminal activity in Canada?! That’s all I get from those changes to the law.
27,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
28,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
29,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
30,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
31,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
32,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
33,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
34,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
35,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
36,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
37,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
38,@IggyHenny @krysiak_sarah @shebroe_dave @bab101abn @honestsportz @laurenboebert @ThisIsKyleR Note saying gun ownership I am assuming legal ownership.
39,"@HIGHLANDDRAGON @NRA When civilian gun ownership is banned, are you going to turn your guns?"
40,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
41,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
42,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
43,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
44,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
45,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
46,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
47,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
48,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
49,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
50,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
51,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
52,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
53,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
54,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
55,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
56,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
57,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
58,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
59,RT @DemonMamaReal: we live in a country where gun ownership is so embraced that there are significantly more privately owned guns than ther…
60,"RT @JamesonHalpern: USA🇺🇸 #1 per capita gun ownership
USA #99 per capita murder

Switzerland🇨🇭 #4 per capita gun ownership
Switzerland #183…"
61,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
62,"@Uilium @TonyRobite @BobSummerwill @RepMTG @elonmusk I am pro-life after birth. Opposed to death penalty, wars of aggression, no control over gun ownership."
63,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
64,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
65,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
66,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
67,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
68,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
69,@FreedomFirst1st @jessica_tyciak Exactly. Totalitarians need to first take away gun ownership from citizens so they can’t shoot back if need be. Every Communist knows that.
70,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
71,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
72,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
73,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
74,"@arboressence2 @PeterSweden7 They only have 10 million people total, and no gun culture and really strict gun ownership"
75,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
76,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
77,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
78,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
79,@Fuckronaut666 @DemonMamaReal Nahh I would say if you don't know one of the lead reasons for gun violence in America but are advocating against gun ownership. But DW I'm sure banning the guns will fix it!
80,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
81,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
82,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
83,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
84,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
85,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
86,RT @DemonMamaReal: we live in a country where gun ownership is so embraced that there are significantly more privately owned guns than ther…
87,"@BravoJoeDotCo 2 of 2 6️⃣ End gun show loophole 7️⃣ Require insurance as with auto ownership 8️⃣ Require pre-buy gun safety course + proof of completion + annual refresher 9️⃣ Serious, ongoing public education 🔟 Financial limits so lobbying groups, NRA, can’t buy votes or influence"
88,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
89,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
90,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
91,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
92,RT @JenniferJoyOK: This is what responsible gun ownership looks like in Oklahoma after @GovStitt enacted Permitless Carry. His 20 y/o son w…
93,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
94,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
95,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
96,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
97,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
98,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
99,"RT @shannonrwatts: NEW: Rural firearm deaths exceed urban firearm deaths, mostly due to higher rates of gun ownership resulting in gun suic…"
100,newest_id
101,oldest_id
102,result_count
103,next_token
