,tweets
44,"ANY LAW that restricts the possession and ownership of guns is UNCONSTITUTIONAL and thus VOID!
Any and ALL all gun restrictions are unconstitutional.

Oregon sheriffs won't enforce new gun law: ‘Infringes on Second Amendment’

https://t.co/0BH24Wztvo"
45,Are radical democrats listening?  No link between gun ownership and violence!  No brainwer!  https://t.co/SgrAqbry5M
46,"RT @HeroPuss: A.R.G.O.
AMERICANS for
RESPONSIBLE
GUN
Ownership

Would you Join and become an Argonaut???"
47,RT @k8ydidit: @Twipperwill @davidhogg111 Please show me the research that gun ownership by law-abiding people causes them to go power-mad.…
48,"@Hyper_Falcon To my knowledge, the child was the owner

If that were the case 99% of gun violence acts in America wouldn’t happen
You can not deny that the country has massive problems with its prerequisites for gun ownership"
49,RT @jessdwee: 4.6 million American kids live in homes with guns that are both loaded and unlocked. With exponential growth in MN gun owners…
50,"@OhGawdpartsdue @RonnyJacksonTX Creates an additional barrier for legal gun ownership, while not impacting criminals who already get their guns off the books to begin with. Over half of gun crimes are committed by people who had one illegally. They’re not going to be influenced by a permit."
51,"@1_love22 @laurenboebert Lauren Boebert thinks gun ownership is something to be proud of, like being accepted to Harvard.  She is living proof that a barely literate fool can buy a gun."
52,RT @StudentsDemand: Kids shouldn’t be paying the price for irresponsible gun ownership with their lives. #SecureStorageSavesLives
53,"@jimfoley @jkempcpa And Constitutional carry never had anything to do with restricting gun ownership.  You deflect again.  

If Rs were concerned with gun crimes they could do smth about them, they choose the opposite for personal political gain."
54,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
55,"I am 100% FINE with responsible gun ownership. Permitted, vetted, common sense laws.

But the ABSURD gun lovers: ""GUN LAWS DON'T WORK! GUN OWNERS ARE RESPONSIBLE""

After a 3-year-old tragically dies by gun. GUN LOVERS: ""Let's make GUN STORAGE laws. They will work. Trust us!"""
56,@innawoodsman Hasan is a fucking grifter piece of shit suck my dick you talk like you peaked in higshool and think mass gun ownership compensates for your shrimp dick
57,"@rk_12v @davidhogg111 https://t.co/djAjhOIPiA
https://t.co/PrWwq3nvS2
https://t.co/kZiklhN5iC
https://t.co/Q3QPpJnBTF"
58,@davenewworld_2 There should be an age limit on gun ownership and being police
59,"@RyanPinesworth Yea right after raising minimum wage ! Lower health cost ,raising minimum age for gun ownership !"
60,"RT @kylegriffin1: NBC News projects: Oregon Measure 114 - Increase Gun Ownership Requirements has been approved.

Measure 114 will create a…"
61,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
62,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
63,@UnimpressedTX @jkempcpa Most people think laws punishing criminals for committing crimes with guns are more justified than laws that restrict gun ownership among non-criminals.
64,"@KWintie @BrianLong29 Well, let’s start. Here. 

https://t.co/xQQHwGyNig"
65,"@Heinzkissvelve @cgrendy3 @BtrayedAmerican @INDprogressives So you chart says pretty much what mine says. Yes, there is population growth, but not nearly at the same rate as gun ownership."
66,@joshvmn @sumpeoplelikeit Yea. Incredibly easy. Just go when they aren't home and have yourself a field day with easily transferable cash valuable assets. Knowledge of gun ownership is one of the top reasons for break ins. And they come with a box truck when there is no one there to stop them.
67,"Research paper published in the Journal of Surgical Research by Mark Hamill, M.D. shows ""neither increases in lawful gun ownership nor concealed carry regimes can be correlated with rates of homicide or other crime"".
https://t.co/uMGN1PimJJ"
68,"@joshvmn @sumpeoplelikeit Criminals do crimes they can do easily. Guns help with that. Might as well sell them to everyone with as little standards and oversight as possible?

Since when did irresponsible gun ownership become a thing to support? I'd think gun owners would want high standards."
69,"RT @fauxcanard: @Hatchetpacker83 @RoughnR @davidhogg111 I've never accepted this argument, the primary function of a car is not to kill, th…"
70,"@breeadail @KolozsyShawn @ShellenbergerMD By far the highest gun ownership and most violent, most murders per capita, least safe states are all red."
71,"RT @kylegriffin1: NBC News projects: Oregon Measure 114 - Increase Gun Ownership Requirements has been approved.

Measure 114 will create a…"
72,"RT @JoKin0427: @RonnyJacksonTX No, it’s the most common-sense approach to rational gun ownership. https://t.co/24FhflOwOV"
73,"@outtasync @prageru Actually, a naturalized citizen can vote also…and they would damn sure past the test. 

Compromise…at 18 if one joins the military, they get all the adult citizenship rules…voting, drinking, gun ownership…all of it.  If not, then they have to wait till…we'll say 21."
74,"@ksorbs Why would young people vote for Republicans?

Republicans hate young people. That's why they protect gun ownership while kids are killed in school! https://t.co/RkJce047hl"
75,@Velo_Vicar @theJeremyVine All Americans have the right to bare arms. Second amendment. We all here have the right to own a car. Which one would you prefer was done away with? The gun ownership rights over there or the car ownership rights here?
76,RT @StudentsDemand: Kids shouldn’t be paying the price for irresponsible gun ownership with their lives. #SecureStorageSavesLives
77,"@ChaseHoward14 @CCFR_CCDAF Licensed gun owners are statistically proven to be more law abiding than any other group of Canadians, multiple times less likely to be involved in homicide - held to the highest standard to retain the privilege of ownership. So what would banning guns do?"
78,"@joncontinental @Timburk1234 @djmateo2 @bennyjohnson Uh, you seem to be severely mistaken. You seem to think we need to ""justify our gun ownership to you"".

Hate to tell ya, little guy... But nobody has to justify their rights to you. You're nobody."
79,"@ThatStevenGrant It’ll be interesting when he has to confront the 70% of America that supports abortion rights, same sex marriage, regulated gun ownership &amp; and Medicare for All. Where does the state of Gilead stand on those issues, &amp; how much room is there for compromise? I’m guessing not much."
80,RT @shannonrwatts: City police said a 4-year-old Muncie boy fatally shot himself Monday with a loaded handgun left on a child's dollhouse.…
81,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
82,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
83,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
84,RT @shannonrwatts: City police said a 4-year-old Muncie boy fatally shot himself Monday with a loaded handgun left on a child's dollhouse.…
85,"@mjs_DC She’s being deliberately obtuse. 
Want to use BC? Use it.
Don’t want to? Don’t. 
Can also be applied to many other situations like pre-marital sex, marriage, having kids, having pets, eating a vegetarian diet, car ownership, gun ownership, etc. etc.

It’s about controlling women."
86,@Velo_Vicar @theJeremyVine I say ownership in my first reply back to you. All owners here will use a car. Not all gun owners in the US will use their gun. Still know which one I’d rather take my chances with pops.
87,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
88,Amén &amp; thank you!   Your points are excellent. Definitely need to positively work (not just pray) towards actual stricter control of gun sales &amp; responsible ownership. https://t.co/TP8ijtQUBV
89,@garybollan69 @theJeremyVine Look at my original tweet. I compare car OWNERSHIP to gun OWNERSHIP. So clearly not saying cars are like guns. I suspect I might be older than you son.
90,"@mmpadellan So you don't care about illegal drug use, illegal gun ownership/possession and photos of him with young, underage girls?

Says more about you than anything else...gross."
91,"@GrattidgeIan @robjoe11 @calvinrobinson Enh, conservatives also seem to think that Jesus is about gun ownership (US) and free market principles. And let's face it- ethno-heritage for many. Maybe stop relying on institutions to get you right with god."
92,"RT @AuforGA: I think Georgians, our law enforcement in particular, are ready for this commonsense solution to promote safe gun ownership.…"
93,"RT @Skyhawk1: @TheLeoTerrell 1. There is no laptop. 
2. Hunter is facing tax charges and we don't have a problem with him being indicted if…"
94,"@66__Parisienne @caringcanadian1 @TWilsonOttawa Is that the argument for gun ownership now? ""In case I decide to start some shit with a bigger guy during a riot?"""
95,@SimBreezay @RonnyJacksonTX So you are saying that you have violated gun ownership laws in the past? You are precisely why permits should be required everywhere. Circumventing this law should land you in prison. A legal hurdle and fee could prevent another child from dying because of attitudes like yours.
96,"RT @Everytown: Children don't need to die like this. These tragedies can be prevented with secure storage. Storing guns unloaded, locked, a…"
97,Kids shouldn’t be paying the price for irresponsible gun ownership with their lives. #SecureStorageSavesLives https://t.co/Ykt5Vo45G0
98,RT @jessdwee: 4.6 million American kids live in homes with guns that are both loaded and unlocked. With exponential growth in MN gun owners…
99,newest_id
100,oldest_id
101,result_count
102,next_token
