,tweets
32,@RBReich Can you imagine if gun grabbers cared about stopping crime as much as they did law abiding gun ownership?
33,"@RBReich You're mixing aborted foetus life with gun victims' lives. People don't use guns to abort unwanted babies, they use more painful ways to kill. Am anti-assault weapons and pro-responsible gun ownership, pro-life and pro-well-informed choice."
34,"@Death2Tyrants84 @TemplarZealot @davidhogg111 Kyle Rittenhouse is a white supremacist that went in there with a weapon that he should not have had access to.

Kyle Rittenhouse is why we need to increase the age of gun ownership to 21 years old."
35,@MissMaryMcInOR @RealNateG @davidhogg111 regulated does not mean infringe upon... Gun ownership and accountability can meet common ground...
36,@RBReich Gun ownership IS being pro-life https://t.co/T95nibwtTh
37,@TomiLahren https://t.co/iyhlGWhrpg
38,@Jim_Jordan https://t.co/iyhlGWhZeO
39,@RyneldStarr @LttleGel @nytimes A teacher got stabbed and died a year ago. Quite recently a student slashed a teacher with a machete killing him because of bad grades. We have low gun ownership. We also had a terrorist attack with a legal gun. We feel safe because we are oblivious to what can happen.
40,"RT @lawhawk: @GovernorVA Instead of praying, do something about the easy availability of firearms. GOP solution is to make it easier to get…"
41,@DiaryOfABlueDot Second Amendment RIGHTS need to be fully recognized. Repeal ALL gun laws regarding possession and ownership of ant firearm. It is illegeal to harm another person with these tools so possession should be allowed without any restriction.
42,"@SteveHofstetter @GOPLeader @LeaderMcConnell 
Do some leading guys. Ban guns for civilians. Limit gun ownership to active duty military and reserves."
43,Mandatory gun ownership? https://t.co/ttbbYjDxo8
44,@RBReich Mandatory gun ownership?
45,"@RBReich I think the 'pro-life' response here would be: ""Responsible gun ownership IS pro-life"" but there are a TON of guns in the hands of irresponsible people"
46,"@MarkBuffBIP @davidcontrerasm @chadmccullough Gun ownership is a right but universal heathcare isn't? People are too deferral and treat the Constitution like it's a God-given religious text. Vital things for progress and happiness like healthcare and education are downgraded to ""benefits"". https://t.co/NQPHhBnjA6"
47,"@davidhogg111 @topjob66t It's that simple. 🍄** sends a survey at least once a day asking if I believe in rights to free speech and gun ownership. I always respond-rights come w responsibility not to hurt others just as a driver's license doesn't give the right to drive drunk. Oh, and he** always wants$. https://t.co/bDjvZQheQG"
48,"@JoJoFromJerz Gun ownership increased exponentially from the summer of ‘20 onwards, spurned by ideologies of useful idiots like yourself. It has nothing to do with race btw &amp; everything to do with the tyranny you espouse in the name of justice that your kind has twisted to suit your agenda"
49,"@Chaxinitus @Kazernerbleer @tsythemaa @oleksa_liutyi @mattxiv @MaraAmpora I'm also curious what portion are random acts of terror, how many target specific people known by the shooter, and how many are gang/crime/drug-related. Each case has different (overlapping) options to address them, including more responsible gun ownership and distribution."
50,"@Skye_Michel_ @gas_pls @SleeperBurrito @mhdksafa So you're advocating for both now? Then we don't have a disagreement. I think having every opportunity such as gun ownership, and other self protection skills are important. My issue again was with you stating that people just need to learn to fight."
51,RT @WalpurgaMueller: @mmpadellan Gun ownership strongly correlates with NRA revenues and deaths. That's all everyone needs to know. https:/…
52,"@Kelly44Irish The NRA, supports Legal Gun Ownership, by Law Abiding Citizens  not criminal Gang members. That seems so obvious.  IDK how you can't  see it?"
53,@davidhogg111 Why is it a problem now versus thirty years ago when gun ownership was greater?
54,"@JoJoFromJerz Actually, they are directly inverse issues. Gun shootings goes up as ownership goes down.

So, yeah. In a way, it does supercede your stupidity."
55,@TheCharlieGirl @GHOSTofSURF Funny the repuglikkkans never want to raise enlistment or gun ownership ages....
56,I just can’t take this anymore! FFS pass some common sense gun control laws. Federally ban civilian ownership of assault weapons! These young men…I just don’t know what it’s going to take to get through to lawmakers! We are sick of it!! https://t.co/zugcjucoMA
57,"No bc gen z are morons/ live in their parents basements.  Everyone wants to raise the gun ownership age and drinking age, so why not voting?I think all should be 21.Gen z voted for killing babies sad since countries like France have more restrictive abortion rules than us, https://t.co/euGpvsMlJe https://t.co/MMfx3Q4hT7"
58,"@00m0ve Citizens and foreigners, but only with a may-issue permit and a valid reason.

Switzerland has lower rates of gun ownership than the US and actually has had some problems with mass shootings despite a more effective arms-control strategy."
59,"@wob99 @WendellHusebo @LeighAnne2014 @Breaking911 Illegal gun ownership.

Illegal drug use.

Sex with minors. https://t.co/zSuCxtqLyT"
60,"Solid arguments, facts and logic supporting gun ownership and opposing gun control proposals.
@JohnRLottJr @DLoesch
@LarsLarsonShow
@CDCGapMisapp
@AndrewPollackFL
@benshapiro
@brithume @ByronYork
@HeyTammyBruce
@parscale @cvpayne
@ColinCowherd
@WSJhealth

https://t.co/dRCJiPPWzw"
61,@JediBearBob I see that even though Americans have more guns per 100 people they overall have less gun violence compared to countries with less gun ownership per person's.vmost of their gun deaths are in countries with stricter gun laws which mean the gun deaths are made with illegal guns.
62,@GOPChairwoman Control gun ownership.  Otherwise accept complicity in these shootings.
63,"RT @ImALKatz: 1 We need to REFRAME the gun debate entirely.

We need to STOP framing it from the gun lobby's POV - that gun ownership is gu…"
64,"U.K. Tightens Gun Laws in Wake of Plymouth Attack: Under the new rules for gun ownership, nobody will be given a firearms licence unless the police have reviewed information from a registered doctor setting out whether or not the applicant has any relevant medical history.
Th ..."
65,"@Blue_JackSky @socialchanger If you are going to deny gun ownership to those under 26, then yes...you will *most certainly* need to change 2A."
66,"@Chrono52 @TheWesternBlue1 @Mikethewander1 @RyanAFournier D's in most cases are the cause of deaths. Guns, in the case here, our gov sending goons-ONLY to the poor, forcing them NO defense. Blacks have the highest gun ownership @ 51%. The MAJORITY of recent gun sales are to women and blacks. https://t.co/qT0iGg4dXp"
67,"@REDPILL_MSN @JoJoFromJerz Proof: 1996! Last time a child was shot in a school in UK, population 70 million. Reason! Very strict gun ownership laws! Self defence is no excuse to own a firearm!"
68,RT @WalpurgaMueller: @mmpadellan Gun ownership strongly correlates with NRA revenues and deaths. That's all everyone needs to know. https:/…
69,"Responsible gun owners know that gun safety is the most important part of gun ownership.
Sensible firearms regulations are gun safety for the community. And they’re supported by the vast majority of Americans. We’ve let the gun cabinet sit wide open and yet again there’s tragedy."
70,@DoctorHenryCT Gun ownership must be logically regulated &amp; controlled in any sane society.
71,"""We take no apologies at all when we are handling a gun because our ancestors died for us to have those second amendment rights literally died for us."" - Phillip Smith, President of @naaganational #GunOwnersCare https://t.co/Z6Ks1qTtCZ"
72,@WEschenbach Oregon has the same gun ownership rate as DC ???!! There is something badly wrong with this data.
73,"@Gener8tionZ @ullr_rover @davidhogg111 The chart is the correct comparison. ""Gun murder"" is only the liklihood of a murder involving a gun. It isn't the likelihood of a murder occurring. Especially because ""gun murder"" completely fails to take defensive use and any retarding effect of gun ownership on murders."
74,"@JoanneVicente3 @JoshSonders @JoJoFromJerz Not true.Most gun owners are normal citizens that take gun ownership serious.The crazies killing people in the cities are a small, small,fraction of the gun owners.We should do whatever it takes to stop this needless killing.Disarming normal citizens will make things worse."
75,RT @SammiRaeMurray: conservatives are a psyop to make gun ownership seem lame
76,"@dachs_dude @davidhogg111 It would be a whole lot easier to have requirements for gun buys, ownership, like say they have in Japan.  ps -  there are gangs in Japan, but only 10 shootings last year."
77,"@Rastaa304 @Angie_Matriot It’s not just the number of guns, it’s also the culture around gun ownership, not to mention the polarization that comes from having a 2 party political system."
78,"@Delia4Congress It's literally the opposite. The 2A as currently written allows for civilian ownership of WMDs.
We will never stop working to make that a reality.
If you don't like that, give us a real compromise (not the usual slippery slope) on gun control and we can discuss a new amendment. https://t.co/Hsi9fQE7Rx"
79,"RT @guntruth: They cannot envision gun ownership that isn't inherently dangerous, violent and harmful. They refuse to see or acknowledge th…"
80,"@vrgsrbrt @ddtsr63 @JoJoFromJerz If some states didn’t make gun ownership so hard and no gun zones so prevalent, many of these awful events would be prevented. Disarming law abiding citizens is a formula for disaster.  A formula that works very well."
81,@MaGiC_CiTy_305 @David_Leavitt The NRA is one of the largest lobbies in DC. They directly impact the laws surrounding gun ownership.
82,"@ThisIsKyleR Gun safety? Did you know the 2nd amendment is also in the “Bill of Rights” no politician right or left,  pro or con, can ever change or take that away, if they say they are going to they are lying. there is no fight that needs to be done. Just responsible gun ownership."
83,"RT @gunpolicy: ""According to the most recent statistics from the Massachusetts Firearms Record Bureau, there are 497,237 people with active…"
84,RT @WalpurgaMueller: @mmpadellan Gun ownership strongly correlates with NRA revenues and deaths. That's all everyone needs to know. https:/…
85,"@fred_guttenberg Im surprised they didn’t include a req for liability insurance in case someone dies while you’re exercising your 2A rights. I mean, if you’re gonna make gun ownership mimic car ownership, might as well go all the way."
86,"@StacyintheBurgh @REDPILL_MSN @JoJoFromJerz You are delusional.
“One doesn’t happen without the other”
So, school shootings is why people own guns?
My gun ownership has never resulted in a school shooting.
Your statement is tissue in the rain, it will never hold up against the truth."
87,"@NYerinLV @itzmyburneracct @Curs3dCarl @MeghanMcCain Forms of GOP Extremism:
Privatize Soc.Sec./Healthcare/Education
Meddling in Women's healthcare in general
Ban on contraception
Citizen's United
Tax breaks for the ultra-rich
Advocating for arming teachers instead of reasonable gun controls that don't prevent responsible ownership"
88,"RT @guntruth: They cannot envision gun ownership that isn't inherently dangerous, violent and harmful. They refuse to see or acknowledge th…"
89,@PBPhilly702 @dhalldin @mhdksafa I have no problem with gun ownership. I just have a problem with crazy ppl buying guns for the purpose of killing as many ppl as they can as quickly as they can. That’s all. Nothing about your ability to protect your family.
90,"@davidhogg111 NH disagrees.  Highest per capita gun ownership... lower gun crime and gun murder rate than Canada.  
Call us when you get some pubes."
91,"@cancervatism @PlainDeplorable @BillSobel Taking guns out of hands of lawful citizens will accomplish only one thing imo - put ALL gun ownership in the hands of the bad guys, and overwhelmed and under-funded law enforcement officers."
92,"@2aSunday @Buchanan1Ashley @Strandjunker The right to defend yourself is not a problem unless you think it would be better if school children had guns in the classroom. It’s the right to attack others with guns that is the problem. Raise the age for gun ownership, thorough background checks etc. Let’s try it! No loss!"
93,RT @ViktoriaKrista: Personal safety - that's the big reason behind increasing numbers of Black women getting armed. Facing an increased ris…
94,"@Loading404nf @lizabethdevon @JustJustalan @YosemiteSamurai @Strandjunker This is obviously not remotely correct. As @lizabethdevon points out, the liberties we enjoy are NOT absolute. SCOTUS has ruled in many cases that they may be infringed by govt. Even in the Heller case they point out that gun ownership is not unlimited."
95,RT @ViktoriaKrista: Personal safety - that's the big reason behind increasing numbers of Black women getting armed. Facing an increased ris…
96,@WEschenbach @davidhogg111 Guess what I live in Canada have strict gun ownership no hand guns or assault weapons allowed. We have many hunters but don't need school active shooter drills wonder Why????
97,"Personal safety - that's the big reason behind increasing numbers of Black women getting armed. Facing an increased risk of violence, they tell me it's a trend they don't expect to slow down anytime soon.
Story: https://t.co/dAMYBDwvMl @SPECNews1BUF https://t.co/St39IjYJ5R"
98,"@PhiladelphiaGov @PhillyMayor @PHLCouncil @Darrell_Clarke @philadao WHY does @PhillyMayor keep saying increased violence/murders/carjackings is fueled by state/federal gun laws, as well as media? @PhillyMayor take ownership of the issue it is NOT bcause of state/federal gun laws"
99,@MrBadGuy905 @bdomenech @ABC I don’t know what “science dues” are. But you have no knowledge of my views on gun ownership at any age.
100,newest_id
101,oldest_id
102,result_count
103,next_token
