tweets,class
"At macro level, Cdmx is amongst the most surveilled cities in the world, top 10 in # of cameras, and the police force in 'some central and middle class areas', is relatively organized for major and petty crime. Gun ownership is almost zero too. Rest of Mx is another world.",N
"guns aren't the problem.  % of American's gun ownership has not changed over time; it's remained static.  Therefore, by math that cannot be argued, guns have not increased school shooting. You mentioned the real variable earlier....liberals have destroyed our morals and values",R
What point is that ?  Men and women are equal in relationships ?  I don't know why he thinks that they are not but ya he's weird he thinks banning legal gun ownership will stop gang warfare over the drug trade 🤷‍♂️  he is clearly mentally ill or something,R
Let me know how many murders were commited by lawful gun owners and then we can go from there. Make illegal gun ownership punishable by death. Bet you’ll see better results,R
"The highest level of ownership 🇺🇸 

Nobody will sign their name to something without 100% believing in it and knowing that it’s done right.  

That’s why we build our pistols One Gun, One Gunsmith.

Who’s initials are on yours?👇

#NighthawkCustom #OneGunOneGunsmith #HandCrafted ",R
As that's iur culture  here. Yoy want to see how enriched  it's in our culture . Look no further than Uvalde themselves.  77% of Uvalde  voted for Abbott.  Proving they do not blame the gun.  Next big fact. Gun ownership and semiautomatic  rifle sales are off the hook...,R
"Today, I joined my fellow Oklahomans outside the Capitol to demand action on responsible gun ownership.",D
"Responsible gun ownership means protecting our communities from gun violence through common-sense reforms, including an enhanced background check process and requiring proper training. I’m ready to fight for both and then some. #MarchForOurLives",D
"No more talk about the abortion ban, about ending SocSec, gun ownership rights, you name it, so she picked a new subject. NEVER, EVER a positive constructive contribution, she wouldn’t know how to…",R
"Oregon's Measure 114 bans manufacturing, selling or using magazines that hold 10+ rounds; requires ownership fees, fingerprints, photo ID, safety training, criminal background check, &amp; a permit from local law enforcement before gun purchase. Common #gunsense wins.",D
Pls Spare us~ Same Latina who Suffered Gun Violence Still Voted Republican who advocate Gun Ownership + anti Immigration ~ Have You Considered if Resident Latina Are Hostile to Immigrants &amp; Reason they didn’t vote O’Rouke Bcz he’s Democrat &amp; Welcomes Immigrants..??,R
"The GOP betrayed America, they clearly don’t care what citizens want.
GOP refused: 
-Responsible gun ownership
-Protections for women
-Freedom of Religion as they push evangelical beliefs 
-debt relief for students
-pandemic relief
The they lie about everything 
#GOPLies",D
 Ultimately I feel like guns are a poor path to liberation because gun *ownership* is impractical for those whose major issue is being dispossessed,D
"That's really the final issue here:

None of it affects availability of firearms at this point, really.  All it does is change how violent widespread gun ownership will become.  If you make rules leading to armed conflict between enforcers and gun owners, that's what you'll get.",D
"Sounds like attempted extortion…although considering leftist views on gun ownership, thievery should be expected from them.",R
OMG! Gun ownership probably be a memory by now!,R
"Elon Musk with Twitter ownership is like a chimp with a machine gun! You subscribe to Twitter Blue, an online payment, and you get verified?? What a sick joke ",N
"My Now-Lives_In-Wheelchair lifelong friend has mentioned home defense twice today.
He said he read Cy’s essay on disability and gun ownership.

What is going on in NC ?
Why are disabled people fearing physical assault at home?",R
"Yes, civic institutions provide the foundation and structure of society. You can improve them but we all rely upon them. And I suspect that like all law abiding gun owners you'll abide by the laws regarding gun ownership",N
" Yes, and heavily waited to gun ownership. So if you haven’t got 15 assault rifles on your shoulder you are living in an authoritarian hellscape! 

New York has fallen. 😔",R
"Because Red State America, for decades, pushed the concept of gun ownership = manhood and we also have that damn amendment written in the time of cannons and muskets that SCOTUS forbids us touching b/c America refused to elect Hillary Clinton. ",N
"Sorry it's bad resolution... On the left ranked most to least, gun murder rates. On the right, gun ownership rates.

As you can see there's pretty much an inverse corolation... ",R
"What he said. 👇

Responsible gun ownership means putting policies in place to protect our communities from those who wish to abuse the Second Amendment. We can do this.",R
" Gun violence can end with right strategy. University needs to have easy accessible counseling sessions for students, political will to limit gun ownership. It will take a whole societal level efforts to bring it down.",D
Actually the 2nd amendment is about govt not being able to infringe on a right.  It was about putting together a manner of keeping the govt from becoming orepressive. The ownership of a gun is not a “god given right” that is the most idiotic statement I have read today.,D
Look at this moron who thinks gun ownership had nothing to do with us no longer being British this is a 100% lolcow ,N
It’s the guns. And it’s got to stop. Responsible gun ownership is a must. FOR THE KIDS.,D
Yea I pointed out that leftist like you want to price the poor out of gun ownership. You want them to be helpless victims while making gun ownership for the rich and elite.,R
How does my gun ownership affect students? They protect at least one vulnerable college student.,R
Near impossible gun ownership says otherwise,N
"Abortion isn’t in the constitution but gun ownership is.  Liberals have no problem killing babies, and if you count, more babies have been killed by doctors than have been killed by guns",R
I confused. You said you aren’t talking about gun ownership and then compared it to owning a car.  There is almost zero barriers to owning a car. I could sell my car to a new born baby if they had the cash.,N
"This ""guns vs gun crime"" statistic is bandied about to put the idea in people's heads that gun ownership causes more crimes to occur because you like to pretend that ""gun crime"" and ""crime"" are synonymous concepts and will use them interchangeably if not called on it.",R
Shall not be infringed.  Take 1 billion of that “aid” to Ukraine and put security in schools.  99% have legal gun ownership and use them correctly.  A drivers license doesn’t supersede me from getting hit by a drunk driver 🤷🏼,R
"Nobody is talking about stopping gun ownership.  They were talking about regulating it to the same extent that car ownership is.

There are far more intentional gun deaths each year than intentional car crashes.",D
We need to think about regulating gun ownership. If I want to drive a car I have to go through six months of classes and pay to register my car every year with tabs.  Oh and maybe some money out into improving the mental health of you residents.,D
"Charlottesville would likely try to severely limit gun ownership if it were up to them.  Unfortunately, they're stuck in a Neanderthal state in an 18th century country",R
So when gun control advocates insist that guns are the problem. Why isn’t there a correlation between gun ownership and gun crime?,R
How come nobody talks about reducing the next generation’s exposure to gun violence through *** education **** on the risks of gun ownership?,D
EVERYONE wants to end gun violence. YOU want to end lawful gun ownership LIAR!,R
"Many pro-lifers believe in responsible gun ownership and much tougher laws to punish criminals that use guns in crimes.

Dummy.

Don't you have to go beg for pandemic amnesty somewhere.",R
"4) stop wishing for bigger government,  because you're lazy , Self Reliance is part of being free
5) I'm all for gun ownership , at the end of the day you're security and protection are your responsibility
6) children can not pick  their sexuality or gender at 8 years old",R
It's been very well documented that reducing private gun ownership reduces homicide.,D
"So you want gun ownership to be only available to people who have been trained and tested and retested throughout their lives, like drivers licenses are?",N
"No. It shoes that there is zero correlation, positive or negative, with regards to the US and guns. As for the rest of the world there is indication that there's an inverse relationship between homicides and gun ownership.",R
Can you imagine if gun grabbers cared about stopping crime as much as they did law abiding gun ownership?,D
"You're mixing aborted foetus life with gun victims' lives. People don't use guns to abort unwanted babies, they use more painful ways to kill. Am anti-assault weapons and pro-responsible gun ownership, pro-life and pro-well-informed choice.",R
"Kyle Rittenhouse is a white supremacist that went in there with a weapon that he should not have had access to.

Kyle Rittenhouse is why we need to increase the age of gun ownership to 21 years old.",D
regulated does not mean infringe upon... Gun ownership and accountability can meet common ground...,R
Gun ownership IS being pro-life,R
A teacher got stabbed and died a year ago. Quite recently a student slashed a teacher with a machete killing him because of bad grades. We have low gun ownership. We also had a terrorist attack with a legal gun. We feel safe because we are oblivious to what can happen.,R
Second Amendment RIGHTS need to be fully recognized. Repeal ALL gun laws regarding possession and ownership of ant firearm. It is illegeal to harm another person with these tools so possession should be allowed without any restriction.,R
Do some leading guys. Ban guns for civilians. Limit gun ownership to active duty military and reserves.,D
"I think the 'pro-life' response here would be: ""Responsible gun ownership IS pro-life"" but there are a TON of guns in the hands of irresponsible people",D
" Gun ownership is a right but universal heathcare isn't? People are too deferral and treat the Constitution like it's a God-given religious text. Vital things for progress and happiness like healthcare and education are downgraded to ""benefits"".",D
"It's that simple. 🍄** sends a survey at least once a day asking if I believe in rights to free speech and gun ownership. I always respond-rights come w responsibility not to hurt others just as a driver's license doesn't give the right to drive drunk. Oh, and he** always wants$.",N
"Gun ownership increased exponentially from the summer of ‘20 onwards, spurned by ideologies of useful idiots like yourself. It has nothing to do with race btw &amp; everything to do with the tyranny you espouse in the name of justice that your kind has twisted to suit your agenda",R
"I'm also curious what portion are random acts of terror, how many target specific people known by the shooter, and how many are gang/crime/drug-related. Each case has different (overlapping) options to address them, including more responsible gun ownership and distribution.",N
"So you're advocating for both now? Then we don't have a disagreement. I think having every opportunity such as gun ownership, and other self protection skills are important. My issue again was with you stating that people just need to learn to fight.",R
"The NRA, supports Legal Gun Ownership, by Law Abiding Citizens  not criminal Gang members. That seems so obvious.  IDK how you can't  see it?",N
Why is it a problem now versus thirty years ago when gun ownership was greater?,R
"Actually, they are directly inverse issues. Gun shootings goes up as ownership goes down.

So, yeah. In a way, it does supercede your stupidity.",R
Funny the repuglikkkans never want to raise enlistment or gun ownership ages....,D
I just can’t take this anymore! FFS pass some common sense gun control laws. Federally ban civilian ownership of assault weapons! These young men…I just don’t know what it’s going to take to get through to lawmakers! We are sick of it!!,D
"No bc gen z are morons/ live in their parents basements.  Everyone wants to raise the gun ownership age and drinking age, so why not voting?I think all should be 21.Gen z voted for killing babies sad since countries like France have more restrictive abortion rules than us,",D
"Citizens and foreigners, but only with a may-issue permit and a valid reason.

Switzerland has lower rates of gun ownership than the US and actually has had some problems with mass shootings despite a more effective arms-control strategy.",R
"Solid arguments, facts and logic supporting gun ownership and opposing gun control proposals.",R
I see that even though Americans have more guns per 100 people they overall have less gun violence compared to countries with less gun ownership per person's.vmost of their gun deaths are in countries with stricter gun laws which mean the gun deaths are made with illegal guns.,R
Control gun ownership.  Otherwise accept complicity in these shootings.,D
"U.K. Tightens Gun Laws in Wake of Plymouth Attack: Under the new rules for gun ownership, nobody will be given a firearms licence unless the police have reviewed information from a registered doctor setting out whether or not the applicant has any relevant medical history.",D
"If you are going to deny gun ownership to those under 26, then yes...you will *most certainly* need to change 2A.",R
"D's in most cases are the cause of deaths. Guns, in the case here, our gov sending goons-ONLY to the poor, forcing them NO defense. Blacks have the highest gun ownership @ 51%. The MAJORITY of recent gun sales are to women and blacks.",R
"Proof: 1996! Last time a child was shot in a school in UK, population 70 million. Reason! Very strict gun ownership laws! Self defence is no excuse to own a firearm!",D
"Responsible gun owners know that gun safety is the most important part of gun ownership.
Sensible firearms regulations are gun safety for the community. And they’re supported by the vast majority of Americans. We’ve let the gun cabinet sit wide open and yet again there’s tragedy.",D
Gun ownership must be logically regulated &amp; controlled in any sane society.,D
"""We take no apologies at all when we are handling a gun because our ancestors died for us to have those second amendment rights literally died for us."" - Phillip Smith, President of  #GunOwnersCare",R
Oregon has the same gun ownership rate as DC ???!! There is something badly wrong with this data.,N
"The chart is the correct comparison. ""Gun murder"" is only the liklihood of a murder involving a gun. It isn't the likelihood of a murder occurring. Especially because ""gun murder"" completely fails to take defensive use and any retarding effect of gun ownership on murders.",N
"Not true.Most gun owners are normal citizens that take gun ownership serious.The crazies killing people in the cities are a small, small,fraction of the gun owners.We should do whatever it takes to stop this needless killing.Disarming normal citizens will make things worse.",R
"It would be a whole lot easier to have requirements for gun buys, ownership, like say they have in Japan.  ps -  there are gangs in Japan, but only 10 shootings last year.",D
" It’s not just the number of guns, it’s also the culture around gun ownership, not to mention the polarization that comes from having a 2 party political system.",N
"It's literally the opposite. The 2A as currently written allows for civilian ownership of WMDs.
We will never stop working to make that a reality.
If you don't like that, give us a real compromise (not the usual slippery slope) on gun control and we can discuss a new amendment. ",D
"If some states didn’t make gun ownership so hard and no gun zones so prevalent, many of these awful events would be prevented. Disarming law abiding citizens is a formula for disaster.  A formula that works very well.",R
The NRA is one of the largest lobbies in DC. They directly impact the laws surrounding gun ownership.,N
"Gun safety? Did you know the 2nd amendment is also in the “Bill of Rights” no politician right or left,  pro or con, can ever change or take that away, if they say they are going to they are lying. there is no fight that needs to be done. Just responsible gun ownership.",N
"Im surprised they didn’t include a req for liability insurance in case someone dies while you’re exercising your 2A rights. I mean, if you’re gonna make gun ownership mimic car ownership, might as well go all the way.",D
"You are delusional.
“One doesn’t happen without the other”
So, school shootings is why people own guns?
My gun ownership has never resulted in a school shooting.
Your statement is tissue in the rain, it will never hold up against the truth.",R
"Forms of GOP Extremism:
Privatize Soc.Sec./Healthcare/Education
Meddling in Women's healthcare in general
Ban on contraception
Citizen's United
Tax breaks for the ultra-rich
Advocating for arming teachers instead of reasonable gun controls that don't prevent responsible ownership",R
I have no problem with gun ownership. I just have a problem with crazy ppl buying guns for the purpose of killing as many ppl as they can as quickly as they can. That’s all. Nothing about your ability to protect your family.,R
"NH disagrees.  Highest per capita gun ownership... lower gun crime and gun murder rate than Canada.  
Call us when you get some pubes.",R
