,tweets,class,
23,"You can have a digital receipt declaring you own real estate, but it’s a ‘gun’ that declares official, fina",D,
24,"Hard to discuss criminal justice in 280. Suppose the thinking is that felons--by virtue of their felonious crime--lose the right to lawful ownership of lethal weapons.

It is a moot point, because the law is not enforced. A lot of the violent gun crime comes from...felons w/guns.",R,
25,"That would be the same sentence structure, yes. Neither abortion nor healthcare is in the US constitution, of course, so don't enjoy the constitutional protections that gun ownership enjoys, but as a sentence it would be read the same way.",R,
26,"Armalite 15, not that that matters. BTW Hitler actually expanded gun ownership for Germans over what the Weimar Republic allowed.",D,
27,When will you be transferring your household and gun ownership to Russia?,R,
28,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
29,I’m a veteran. Don’t thank me for fucking shit. Vote and work for meaningful gun control and ownership legislation. Thank,R,
30,Rhoda killing them on that live yes. But yes (rich) people speaking about gun ownership as a “right” is a worrisome thought.,D,
31,Not enough gun ownership by leftists?,R,
32,All the best to you guys I hope America wakes upto gun ownership and stops senseless killing. But not with crazy prez. Endorsing the nra and gun owners. Guns are for nutters and crazies. Melt them all,D,
33,"In the other 37 states, including New York state, 60 percent of inmates illegally procured the gun they used, Webster said.  

""If you look at the most stringent standards for legal gun ownership, it’s more like 65 percent,"" Webster said.",N,
34,"...a team that used the data to estimate how many illegally possessed guns.
In the 13 states with the fewest restrictions on gun ownership, 40 percent of inmates illegally obtained the gun they used, Webster said. Only about 13 percent purchased the gun from a store or pawn shop.",R,
35,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
36,Responsible gun ownership can help stop crimes,R,
37,"Again, your lack of understanding that not everything in life is binary. Gun ownership and being a responsible citizen for better gun laws are not mutually exclusive.",N,
38,"Its not even that deep. fine ronaldo feels disrespected &amp; therefor he doesent respect him back..

this has happened multiple times in football its so common.

Focus on the actual loaded gun of content he's handed us to use against this ownership.",D,
39,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
40,"Its not even that deep. fine ronaldo feels disrespected &amp; therefor he doesent respect him back..

this has happened multiple times in football its so common.

Focus on the actual loaded gun of content he's handed us to use against this ownership.",D,
41,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
42,"Yes stronger back ground checks at all sources including private sales, gun shows. require security to limit theft from your home or business. Compulsory training prior to any ownership.",R,
43,"No. But I’m for raising the age of ownership, implementing a digital database of owners, cutting loopholes, mandatory gun training and more extensive background checks. As well as having to keep weapons in locked storage.",R,
44,"Even Liberals like DPak reporting increased Liberal Gun Ownership.
Only Boomer Dems are still anti-gun.
Now, Leftists ... 😜
You think articles like this 'Own the Libs' - it's just radicalizing them.",R,
45,This is heartbreaking. If the lethality of Fentanyl is literally going to kill children who are trying drugs for the fir,N,
46,Best said a digital receipt AND a ‘gun’ provide absolute proof of ownership. That’s why Jason works for his employer and the general population is protected by the 2A.,R,
47,Gun confiscation? You guys have more guns than anywhere else in the world. You also have more shootings because of that. Finding the balance between responsible gun ownership and fighting against violence is a topic that only the Democrats consider important.,R,
48,"Its not even that deep. fine ronaldo feels disrespected &amp; therefor he doesent respect him back..

this has happened multiple times in football its so common.

Focus on the actual loaded gun of content he's handed us to use against this ownership.",D,
49,"No, it wouldn’t have. Most Americans didn’t believe Fauci and wanted him gone. 

Also, that’s what police and gun ownership i",N,
50,and who are the guns being stolen from? I support RESPONSIBLE gun ownership. Allowing kids and thieves to get their hands on guns is NOT responsible. Hold gun owners accountable for their negligence.,R,
51,"There had to be a first one. No? If drug store invasions were legal, would they have stopped? Gun ownership is the only time we employ this awkward logic. Anyone who intends to do something will, we don’t make it legal in any other case.",D,
52,And Liability Insurance. Let’s let the insurance industry regulate gun ownership. Apparently it worked with c,R,
53,"I have no problem with legal gun ownership, done responsibly. What I have a problem with, is the proliferation of military style weapons in the hands of civilians. No one should possess weapons that were specifically designed for military use. They don't belong on our streets.",D,
54,"You can have a digital receipt declaring you own real estate, but it’s a ‘gun’ that declares official, final ownership.",R,
55,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
56,I'm afraid the facts speak for themselves.  Countries like the UK with strict controls on gun ownership have far lower rates of deaths from shooting than the US.,R,
57,"MOVE FOCUS TOWARDS HIS ATTACK ON THE OWNERSHIP. 

He's handed us a loaded gun lmao",N,
58,Imagine for a moment that the 26th amendment is the 2nd. The right to vote/own guns shall not be infringed. You wouldn't want gun ownership to be restricted. You also can't resolve you party's election loss by restricting voting. You need to offer people a reason to vote for you.,R,
59,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
60,"No, they were sane and didn't want mass shootings. They didn't want to be like the US. People in Europe say things like ""Our government might be bad, but at last it's not like the US."" Many countries never allowed much in the way of civilian gun ownership. Certainly not Ar-15s.",D,
61,"2a is stronger (in a crazy way) than it's ever been, to the detriment of our society. 99% of gun owners would retain their ownership in the aftermath of gun laws that Americans favor. Taxation is actually at a historical low. Inflation will be short-lived and is only partially...",R,
62,The age to vote is enshrined in the Constitution. The age of gun ownership is not or it would be in the 2 nd amendment. You’re either a constitutionalist all the time or only when it benefits you.,R,
63,Exactly. They also never mentioned the words “gun ownership”,N,
64,"Connie. THANK YOU. 

To support our work of educating urban America on safe &amp; responsible gun ownership, hit the link and gra",R,
65,"Lol. Murder is already illegal, but your wanting to raise gun ownership age to the age range that commits the highest % of murders.. Where's the logic???",D,
66,An interesting statistic would be to compare increases in legal gun ownership with increases in gun crimes.,R,
67,And Liability Insurance. Let’s let the insurance industry regulate gun ownership. Apparently it worked with c,N,
68,"77 million legal gun owners w/average of 5 guns. 20% of Dem voters armed. 50% of Republicans own guns. GenZ gun ownership = growing. Drugs kill more Americans than guns. 1% of kids will die from guns, at current trajectory overdose will equal 70%.",R,
69,"Something needs to be done, something needs to change, I don't have a problem with gun ownership, I grew up with guns, but this senseless slaughter has to stop. This is one thing to try.",D,
70,Illegal gun ownership tho,R,
71,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
72,“AR” does NOT stand for “assault rifle” or “automatic rifle.” AR-15 and other semi-automatic rifle,N,
73,"😂🤣😂🤣

“when it actually counted to avoid heading to the brink of fascism.” 

Seriously, you’re a joke. ⭐️Name one way Trump is fascist! 

Do fascist dictator generally support gun ownership?? Don’t think so. 🙄",R,
74,"Democrats do not believe in free speech, gun ownership, or capitalism. That’s against the constitution. Democrats are the weakest on crime do you even know politics or what you’re fighting for?",R,
75,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
76,"It works in Europe👀🙄...Makes People Easier to be caught with less guns...Fear, Greed, Anger drives gun ownership in America",R,
77,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
78,Outlaw all gun ownership in blue States. We want our children safe. If anyone has a gun they should be arrested.,D,
79,"FL and TX govs are responsible for these recurring deaths allowing unlimited gun ownership with ZERO gun control.

Florida boy accidentally shoots brother with gun from parents' bedroom",R,
80,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
81,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
82,And Liability Insurance. Let’s let the insurance industry regulate gun ownership. Apparently it worked with c,N,
83,"The USA will learn nothing from countries that have less gun violence. The ppl with power and wealth don’t want things to change. You need to change the mindset of responsible gun ownership doesn’t mean taking away their rights, just using common sense wrt who has guns.",D,
84,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
85,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
86,"The United States has a gun problem. Other countries with stricter gun 
ownership laws see much less gun violence. What can",R,
87,"No, it wouldn’t have. Most Americans didn’t believe Fauci and wanted him gone. 

Also, that’s what police and gun ownership is for. To stop unjustified damage to life.",R,
88,"Can’t steal guns from people that don’t have guns. Try really hard to make arguments that actually make sense. If you support gun ownership, don’t make the argument that disarming everyone is a way to deter crime.",D,
89,And Liability Insurance. Let’s let the insurance industry regulate gun ownership. Apparently it worked with c,N,
90,Plenty of data showing more guns = more gun violence. Here is just one.,D,
91,"Either half the USA's population can't read or they're lying. Membership in a militia was NEVER required for gun ownership, that's just the reason the government can't ban gun ownership. Change the subject matter and see if the ""well regulated"" argument still works-
cont",R,
92,An advertisement for gun ownership?,N,
93,conservatives are a psyop to make gun ownership seem lame,R,
94,"The United States has the highest gun ownership rate with about 101 guns per hundred Americans, almost double that of the",D,
95,"That's Poly's ""evidence"" against legal gun ownership. 16 in over 30 years. Just proves that measures against licensed owners, proven to be the country's most law abiding citizens, is grossly disproportionate -  while ignoring lion's share: gun smuggling and illegal mfg of guns.",R,
96,Also forgot no push to ban all guns? What do you think happens when you give up any of your rights. The rest go away. Look at Venezuela or any other country that banned gun ownership.perhaps pick up a book or two.,R,
97,"Just a reminder 😉
“How can one be a Christian and pro choice on abortion?”
Your reply: “I am. I’m anti abortion personally on religious ground “but believe in choice”, like I do for gun ownership. God will judge us. It’s not up to me to judge others, it’s up to God",R,
98,"😓terrible why no gun ownership ban ?",D,
99,conservatives are a psyop to make gun ownership seem lame,R,
100,newest_id
101,oldest_id
102,result_count
103,next_token
